club,clubLabel,venue,venueLabel,coordinates
http://www.wikidata.org/entity/Q3501099,Lupa Roma F.C.,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q15727861,Oklahoma Football Club,http://www.wikidata.org/entity/Q1649,Oklahoma,Point(-98.0 35.5)
http://www.wikidata.org/entity/Q1276685,Olympique Lyonnais,http://www.wikidata.org/entity/Q1980,Stade de Gerland,Point(4.8325 45.723889)
http://www.wikidata.org/entity/Q3924852,Olympique Lyonnais Reserves and Academy,http://www.wikidata.org/entity/Q1980,Stade de Gerland,Point(4.8325 45.723889)
http://www.wikidata.org/entity/Q207462,FC Metalist Kharkiv,http://www.wikidata.org/entity/Q3585,Metalist Stadium,Point(36.261703 49.980858)
http://www.wikidata.org/entity/Q704,Olympique Lyonnais,http://www.wikidata.org/entity/Q8507,Parc Olympique lyonnais,Point(4.979825 45.764327777)
http://www.wikidata.org/entity/Q2714,Watford Football Club,http://www.wikidata.org/entity/Q10626,Vicarage Road,Point(-0.401606 51.649928)
http://www.wikidata.org/entity/Q11961,Heracles Almelo,http://www.wikidata.org/entity/Q11969,Polman Stadion,Point(6.649722 52.338611)
http://www.wikidata.org/entity/Q3607383,A.S.D. Akragas Calcio,http://www.wikidata.org/entity/Q13678,Agrigento,Point(13.576547222 37.311075)
http://www.wikidata.org/entity/Q582342,Cultural y Deportiva Leonesa,http://www.wikidata.org/entity/Q16822,Estadio Reino de León,Point(-5.576699 42.587482)
http://www.wikidata.org/entity/Q10308,Real Zaragoza,http://www.wikidata.org/entity/Q17484,La Romareda,Point(-0.901822 41.636592)
http://www.wikidata.org/entity/Q80958,Botafogo F.R.,http://www.wikidata.org/entity/Q17489,Estádio Olímpico João Havelange,Point(-43.292269 -22.893172)
http://www.wikidata.org/entity/Q80987,Fluminense F.C.,http://www.wikidata.org/entity/Q17489,Estádio Olímpico João Havelange,Point(-43.292269 -22.893172)
http://www.wikidata.org/entity/Q8760,Deportivo de La Coruña,http://www.wikidata.org/entity/Q22130,Estadio Municipal de Riazor,Point(-8.417372 43.368667)
http://www.wikidata.org/entity/Q5773848,Club Deportivo Juvenil,http://www.wikidata.org/entity/Q22130,Estadio Municipal de Riazor,Point(-8.417372 43.368667)
http://www.wikidata.org/entity/Q1900,Cagliari Calcio,http://www.wikidata.org/entity/Q24839,Stadio Is Arenas,Point(9.181944 39.230833)
http://www.wikidata.org/entity/Q18513,Gateshead F.C.,http://www.wikidata.org/entity/Q27420,Gateshead International Stadium,Point(-1.579722222 54.961111111)
http://www.wikidata.org/entity/Q29108,F.C. Zenit St. Petersburg,http://www.wikidata.org/entity/Q27622,Petrovsky Stadium,Point(30.286389 59.951944)
http://www.wikidata.org/entity/Q970616,FC Elektrosila Leningrad,http://www.wikidata.org/entity/Q27622,Petrovsky Stadium,Point(30.286389 59.951944)
http://www.wikidata.org/entity/Q1269122,FC Dynamo Saint Petersburg,http://www.wikidata.org/entity/Q27622,Petrovsky Stadium,Point(30.286389 59.951944)
http://www.wikidata.org/entity/Q2525021,FC Petrotrest Saint Petersburg,http://www.wikidata.org/entity/Q27622,Petrovsky Stadium,Point(30.286389 59.951944)
http://www.wikidata.org/entity/Q2649295,FC Rus Saint Petersburg,http://www.wikidata.org/entity/Q27622,Petrovsky Stadium,Point(30.286389 59.951944)
http://www.wikidata.org/entity/Q4191365,FC Zenit-2,http://www.wikidata.org/entity/Q27622,Petrovsky Stadium,Point(30.286389 59.951944)
http://www.wikidata.org/entity/Q4424292,FC Smena-Zenit,http://www.wikidata.org/entity/Q27622,Petrovsky Stadium,Point(30.286389 59.951944)
http://www.wikidata.org/entity/Q2674,U.S. Città di Palermo,http://www.wikidata.org/entity/Q28500,Stadio Renzo Barbera,Point(13.342275 38.152767)
http://www.wikidata.org/entity/Q2065449,Paysandú F.C.,http://www.wikidata.org/entity/Q29638,Estadio Parque Artigas,Point(-58.0725 -32.32277778)
http://www.wikidata.org/entity/Q1023199,Deportivo Maldonado,http://www.wikidata.org/entity/Q29640,Estadio Domingo Burgueño,Point(-54.955278 -34.914444)
http://www.wikidata.org/entity/Q2043779,La Roche VF,http://www.wikidata.org/entity/Q31274,Stade Henri Desgrange,Point(-1.440833 46.671389)
http://www.wikidata.org/entity/Q870173,Vannes OC,http://www.wikidata.org/entity/Q31276,Stade de la Rabine,Point(-2.761111 47.651944)
http://www.wikidata.org/entity/Q18729,Reading F.C.,http://www.wikidata.org/entity/Q31656,Madejski Stadium,Point(-0.982777777 51.422222222)
http://www.wikidata.org/entity/Q18723,Queens Park Rangers F.C.,http://www.wikidata.org/entity/Q31670,Loftus Road,Point(-0.232222222 51.509166666)
http://www.wikidata.org/entity/Q7494446,Shepherd's Bush F.C.,http://www.wikidata.org/entity/Q31670,Loftus Road,Point(-0.232222222 51.509166666)
http://www.wikidata.org/entity/Q18744,West Bromwich Albion F.C.,http://www.wikidata.org/entity/Q31678,The Hawthorns,Point(-1.963888888 52.509166666)
http://www.wikidata.org/entity/Q18739,Sunderland A.F.C.,http://www.wikidata.org/entity/Q31969,Stadium of Light,Point(-1.3882 54.9144)
