Team,Team2,Stadium,Latitude,Longitude,Country
AC Chievo Verona,A.C. ChievoVerona,Stadio Marc'Antonio Bentegodi,45.435356,10.968647,Italy
AC Milan,A.C. Milan,Stadio Giuseppe Meazza,45.47808,9.124,Italy
AC Sparta Praha,AC Sparta Prague,Generali Arena,50.099716,14.416122,Czech Republic
ACF Fiorentina,ACF Fiorentina,Stadio Artemio Franchi,43.780822,11.282258,Italy
AE Larisa,Unknown,Unknown,,,Greece
AEK Athens,A.E.K. Athens F.C.,Olympic Stadium,38.036111111,23.7875,Greece
AEL Limassol,AEL Limassol FC,Tsirion Stadium,34.700914,33.022975,Cyprus
AEL Limassol,Amathus Limassol,GSO Stadium,34.681224,33.053629,Cyprus
AEL Limassol,Antaeus Limassol,GSO Stadium,34.681224,33.053629,Cyprus
AEL Limassol,Apollon Limassol,Tsirion Stadium,34.700914,33.022975,Cyprus
AEL Limassol,Apollon Limassol,Tsirion Stadium,34.700914,33.022975,Cyprus
AEL Limassol,Aris Limassol F.C.,Tsirion Stadium,34.700914,33.022975,Cyprus
AEL Limassol,Lenas Limassol,Trachoni Community Stadium,34.659368,32.971326,Cyprus
AFC Ajax,A.F.C. Ajax,Amsterdam Arena,52.314166666,4.941944444,Netherlands
AFC Ajax,AFC Ajax (women),Sportpark De Toekomst,52.313522,4.928914,Netherlands
AIK Solna,Unknown,Unknown,,,Sweden
AJ Auxerre,A.J. Auxerre,Stade de l'Abbé-Deschamps,47.786753,3.588664,France
APOEL Nikosia,Unknown,Unknown,,,Cyprus
AS Monaco,A.S. Monaco F.C.,Stade Louis II,43.727778,7.415556,France
AS Monaco,A.S. Mont-Dore,Stade Numa-Daly Magenta,-22.265528,166.467611,France
AS Monaco,AS Magenta,Stade Numa-Daly Magenta,-22.265528,166.467611,France
AS Roma,A.S. Roma,Stadio Olimpico,41.933872,12.454714,Italy
AS Saint-Etienne,A.S. Saint-Étienne,Stade Geoffroy-Guichard,45.460833,4.39,France
AS Trencin,FK AS Trenčín,Štadión na Sihoti,48.89861111,18.04472222,Slovakia
ASK Vorwarts Berlin,Unknown,Unknown,,,Germany
AZ Alkmaar,AZ Alkmaar,AFAS Stadion,52.6125,4.741667,Netherlands
Aalborg BK,Unknown,Unknown,,,Denmark
Aarhus GF,VSK Aarhus,Vejlby-Risskov Hallen,56.1924,10.2103,Denmark
Abderden,Unknown,Unknown,,,
Admira Wien,FK Austria Wien,Generali Arena,48.162306,16.386694,Austria
Akademisk BK,Unknown,Unknown,,,Denmark
Aktobe,FC Aktobe,Aktobe Central Stadium,50.291389,57.160278,Kazakhstan
Alania Vladikavkaz,FC Alania Vladikavkaz,Republican Spartak Stadium,43.023056,44.695,Russia
Alania Vladikavkaz,FC Alania-d Vladikavkaz,Republican Spartak Stadium,43.023056,44.695,Russia
Anorthosis Famagusta,Anorthosis Famagusta FC,Antonis Papadopoulos Stadium,34.937422,33.620922,Cyprus
Anorthosis Famagusta,Anorthosis Kato Polemidia,Peace and Friendship Community Stadium,34.692429,33.006556,Cyprus
Anorthosis Famagusta,Othellos Famagusta,GSE Stadium,35.118611,33.953056,Cyprus
Apollon Limassol,AEL Limassol FC,Tsirion Stadium,34.700914,33.022975,Cyprus
Apollon Limassol,Amathus Limassol,GSO Stadium,34.681224,33.053629,Cyprus
Apollon Limassol,Antaeus Limassol,GSO Stadium,34.681224,33.053629,Cyprus
Apollon Limassol,Apollon Limassol,Tsirion Stadium,34.700914,33.022975,Cyprus
Apollon Limassol,Apollon Limassol,Tsirion Stadium,34.700914,33.022975,Cyprus
