clubLabel,venueLabel,coordinates,countryLabel
Q11863382,Městský stadion,Point(18.254782 49.804142),Czech Republic
Q11863382,Městský stadion,Point(18.2561 49.8044),Czech Republic
Q11985886,Q13403155,Point(17.4372 49.0781),Czech Republic
Q12335302,Q12338317,Point(9.58798 56.1792),Denmark
Q12342954,Q12324657,Point(9.37578 56.4326),Denmark
Q1386811,Q2640149,Point(9.02667 48.2231),Germany
Q1387078,Q2549916,Point(10.3089 50.9847),Germany
Q162439,Q2326073,Point(7.1953 51.5956),Germany
Q1883901,Heinrich Germer Stadium,Point(11.600833 52.105556),Germany
Q20914939,Tammela Stadion,Point(23.785278 61.500278),Finland
Q21006757,Sport Complex Podillya,Point(26.99555556 49.42055556),Ukraine
Q2134095,Q2312911,Point(11.585 50.9164),Germany
Q2159602,Q21127433,Point(5.096591 50.288719),Belgium
Q217712,Estadio Gran Parque Central,Point(-56.1588 -34.884373),Uruguay
Q2208548,Q1671611,Point(7.29806 52.7081),Germany
Q2215406,Q1369190,Point(-57.9359638 -31.3866205),Uruguay
Q2257778,Q16070306,Point(5.87694 51.0064),Netherlands
Q2405679,Sportpark Hoogkerk,Point(6.510833 53.208611),Netherlands
Q27131957,Estádio Municipal Adérito Sena,Point(-24.985277777 16.8825),Cape Verde
Q319952,Q1723303,Point(7.53669 51.6066),Germany
Q3216186,Stade Municipal,Point(-6.45677 6.88845),Côte d'Ivoire
Q3438173,Q2325894,Point(2.56361111 44.35166667),France
Q470646,Q1678569,Point(6.91897 51.526),Germany
Q538421,Q8845318,Point(-2.97306 43.1517),Spain
Q5667807,Q8845318,Point(-2.97306 43.1517),Spain
Q573782,Q1558198,Point(9.89111 48.2265),Germany
Q605577,Q8256412,Point(2.71735 39.7722),Spain
Q797162,Q1236957,Point(7.44532 51.6036),Germany
Q869716,Jahnstadion,Point(6.451278 51.174667),Germany
Q873577,Rudolf-Tonn-Stadion,Point(16.468611 48.129167),Austria
Q9023879,Los Angeles Memorial Coliseum,Point(-118.287778 34.014167),United States of America
Q937095,Q1945602,Point(7.62778 51.5047),Germany
1. FC Bocholt,Q2326114,Point(6.60944 51.855),Germany
1. FC Frankfurt,Stadion der Freundschaft,Point(14.556133 52.332533),Germany
1. FC Heidenheim,Voith-Arena,Point(10.1393 48.6685),Germany
1. FC Kaiserslautern,Fritz-Walter-Stadion,Point(7.775833 49.434444),Germany
1. FC Köln,RheinEnergie Stadion,Point(6.875 50.933611),Germany
1. FC Lokomotive Leipzig,Bruno-Plache-Stadion,Point(12.4192 51.3029),Germany
1. FC Magdeburg,MDCC-Arena,Point(11.670833 52.125556),Germany
1. FC Nürnberg,Stadion Nürnberg,Point(11.125278 49.426389),Germany
1. FC Passau,Drei Flüsse Stadion,Point(13.422778 48.564444),Germany
1. FC Saarbrücken,Ludwigsparkstadion,Point(6.984167 49.2475),Germany
1. FC Saarbrücken,Q2326077,Point(7.02444 49.2342),Germany
1. FC Schweinfurt 05,Q1230575,Point(10.2031 50.0514),Germany
1. FC Slovácko,Městský fotbalový stadion Miroslava Valenty,Point(17.471461 49.065556),Czech Republic
1. FC Slovácko Zeny,Městský fotbalový stadion Miroslava Valenty,Point(17.471461 49.065556),Czech Republic
1. FC Tatran Prešov,Štadión 1. FC Tatran Prešov,Point(21.234444 49.006667),Slovakia
1. FC Union Berlin,Stadion An der Alten Försterei,Point(13.568056 52.457222),Germany
1. FFC Frankfurt,Stadion am Brentanobad,Point(8.62056 50.1247),Germany
1. FFC Turbine Potsdam,Karl-Liebknecht-Stadion,Point(13.094806 52.399083),Germany
1. FK Příbram,Na Litavce,Point(13.976389 49.676944),Czech Republic
1. FSV Mainz 05,Coface Arena,Point(8.224167 49.984167),Germany
1. SC Znojmo,Městský stadion,Point(16.052019 48.858311),Czech Republic
1. SK Prostějov,Q20755540,Point(17.1141667 49.4797222),Czech Republic
1. Simmeringer SC,Q1649203,Point(16.4269 48.1654),Austria
1461 Trabzon,Hüseyin Avni Aker Stadium,Point(39.705317 41.003664),Turkey
15 de Septiembre de Trujillo,Estadio Mansiche,Point(-79.030977 -8.106655),Peru
402 FC,Morrison Stadium,Point(-95.939398 41.264743),United States of America
5th Kirkcudbrightshire Rifle Volunteers F.C.,Palmerston Park,Point(-3.62494 55.0698),United Kingdom
A.A. Argentinos Juniors,Estadio Diego Armando Maradona,Point(-58.472583 -34.606028),Argentina
A.C. Ajaccio,Stade François Coty,Point(8.776444444 41.930761111),France
A.C. Barnechea,Estadio Municipal de La Pintana,Point(-70.635833 -33.586667),Chile
A.C. Cesena,Stadio Dino Manuzzi,Point(12.261944 44.140556),Italy
A.C. ChievoVerona,Stadio Marc'Antonio Bentegodi,Point(10.968647 45.435356),Italy
A.C. Juvenes/Dogana,Stadio Olimpico,Point(12.476972 43.97125),Italy
A.C. Marinhense,Estádio Municipal da Marinha Grande,Point(-8.931459 39.736977),Portugal
A.C. Milan,Stadio Giuseppe Meazza,Point(9.124 45.47808),Italy
A.C. Monza Brianza 1912,Stadio Brianteo,Point(9.308056 45.582778),Italy
A.C. Pavia,Stadio Pietro Fortunati,Point(9.152778 45.205),Italy
A.C. Perugia Calcio,Stadio Renato Curi,Point(12.357222 43.106111),Italy
A.C. Pisa 1909,Arena Garibaldi – Stadio Romeo Anconetani,Point(10.4 43.725278),Italy
A.C. Pistoiese,Stadio Marcello Melani,Point(10.914722 43.940833),Italy
A.C. Reggiana 1919,Stadio Città del Tricolore,Point(10.649722 44.714722),Italy
A.C. Rimini 1912,Stadio Romeo Neri,Point(12.577222 44.053056),Italy
A.C.D. Foggia Calcio,Stadio Pino Zaccheria,Point(15.5425 41.454444),Italy
A.C.D. Treviso 2013,Stadio Omobono Tenni,Point(12.255833 45.67),Italy
